,athlete_id,athlete,country_noc,total_medaille
80630,81847,Andrea Mitscherlich,GDR,7
118118,120455,Aliya Mustafina,RUS,7
10549,10605,Ivan Patzaichin,ROU,7
50594,50962,Amanda Beard,USA,7
117324,119468,Eric Frenzel,GER,7
22311,22483,Pál Kovács,HUN,7
98652,100035,Kati Wilhelm,GER,7
132843,136353,Caeleb Dressel,USA,7
114191,116137,Svetlana Romashina,ROC,7
101902,103470,Dana Vollmer,USA,7
114195,116141,Huang Xuechen,CHN,7
81754,82972,Yelena Välbe,RUS,7
28284,28502,Karin Janz,GDR,7
94310,95658,Bogdan Musiol,GDR,7
89092,90388,Chris Hoy,GBR,7
117302,119444,Natalie Geisenberger,GER,7
107990,109768,Martina Sáblíková,CZE,7
77392,77990,Gwen Torrence,USA,7
96285,97646,Vladimir Smirnov,KAZ,7
44417,44767,Lloyd Spooner,USA,7
118112,120449,Denis Ablyazin,ROC,7
43177,43518,Einar Liberg,NOR,7
29046,29266,Shannon Miller,USA,7
134065,137724,Johannes Høsflot Klæbo,NOR,7
50855,51223,Amy Van Dyken,USA,6
95520,96877,Rintje Ritsma,NED,6
21607,21763,Géo Buchard,FRA,6
13063,13139,Clara Hughes,CAN,6
130720,134067,Duncan Scott,GBR,6
44354,44704,Al Lane,USA,6
30069,30304,Alfred Schwarzmann,GER,6
13173,13253,Leontien van Moorsel,NED,6
134046,137698,Suzanne Schulting,NED,6
110357,112216,Sun Yang,CHN,6
21363,21517,Ramón Fonst,CUB,6
85883,87147,Wolfgang Hoppe,GDR,6
30090,30325,Hermann Weingärtner,GER,6
103358,104973,Tirunesh Dibaba,ETH,6
14096,14189,Burton Downing,USA,6
30015,30249,Konrad Frey,GER,6
96635,98002,Gunde Svan,SWE,6
41297,41621,Wang Yifu,CHN,6
81178,82395,Lidiya Skoblikova,URS,6
105159,106841,Anna Meares,AUS,6
39180,39490,Veronica Cogeanu,ROU,6
116769,118852,Therese Johaug,NOR,6
101664,103223,Brendan Hansen,USA,6
116533,118590,Tarjei Bø,NOR,6
97915,99296,Armin Zöggeler,ITA,6
101604,103162,László Cseh,HUN,6
127635,130722,Elaine Thompson,JAM,6
44929,45280,Murray Rose,AUS,6
113745,115676,Rebecca Soni,USA,6
12505,12574,J. Michael Plumb,USA,6
122745,125495,Charlotte Dujardin,GBR,6
91363,92674,Georgeta Damian,ROU,6
47452,47812,Michael Groß,FRG,6
129337,132557,Kyle Chalmers,AUS,6
113664,115594,Matt Grevers,USA,6
123284,126097,Lisa Carrington,NZL,6
44879,45230,Michael Klim,AUS,6
108135,109918,Charles Hamelin,CAN,6
86716,87989,Harri Kirvesniemi,FIN,6
30988,31231,Hryhoriy Misiutin,EUN,6
108138,109921,Wang Meng,CHN,6
9769,9824,Rüdiger Helm,GDR,6
125299,128220,Jørgen Graabak,NOR,6
44804,45155,Frank Beaurepaire,ANZ,6
98051,99432,Janica Kostelić,CRO,6
31278,31521,Leon Štukelj,YUG,6
115502,117509,Dimitrij Ovtcharov,GER,6
94208,95556,Eugenio Monti,ITA,6
98135,99516,Bode Miller,USA,6
31074,31317,George Eyser,USA,6
31094,31337,Anton Heida,USA,6
37138,37440,Steven Redgrave,GBR,6
85015,86270,Johan Grøttumsbraaten,NOR,6
77841,78439,Bob Garrett,USA,6
12785,12855,Mark Todd,NZL,6
123886,126759,Aly Raisman,USA,6
23109,23287,Pavel Kolobkov,RUS,6
39191,39501,Doina Ignat,ROU,6
123810,126679,Missy Franklin,USA,6
47316,47675,Daniela Hunger,GDR,6
116452,118501,Anastasia Kuzmina,SVK,6
69179,69705,Renate Stecher,GDR,6
116465,118516,Daria Domrachava,BLR,6
50742,51110,Angel Martino,USA,6
23402,23587,Vladimir Nazlymov,URS,6
30383,30623,Shuji Tsurumi,JPN,6
23416,23601,Viktor Sidyak,URS,6
82337,83560,Thomas Alsgaard,NOR,6
94332,95680,Mika Myllylä,FIN,6
12419,12487,Josef Neckermann,GER,6
100238,101719,Anja Pärson,SWE,6
23625,23813,Albertson Van Zo Post,CUB,6
11825,11887,Raimondo D'Inzeo,ITA,6
78379,78977,Ralph Rose,USA,6
108042,109824,Johan Olsson,SWE,6
11545,11606,Ludger Beerbaum,GER,6
121443,124053,Laura Trott,GBR,6
20819,20968,Yelena Novikova,URS,6
100388,101871,Kevin Kuske,GER,6
98650,100033,Yuliya Chepalova,RUS,6
79457,80673,Bonnie Blair,USA,6
9970,10026,Rita Kőbán,HUN,6
43179,43520,Ole Lilloe-Olsen,NOR,6
43155,43496,Albert Helgerud,NOR,6
11824,11886,Piero D'Inzeo,ITA,6
77284,77882,Jackie Joyner,USA,6
85176,86432,Halvard Hanevold,NOR,6
129757,133005,Andre De Grasse,CAN,6
28814,29034,Daniela Silivaș,ROU,6
22484,22658,Giuseppe Delfino,ITA,6
77469,78067,Thane Baker,USA,6
28972,29192,Nelli Kim,URS,6
28973,29193,Olga Korbut,URS,6
99557,100992,Claudia Künzel,GER,6
103133,104743,Jin Jong-O,KOR,6
28802,29022,Lavinia Miloșovici,ROU,6
28443,28661,Olga Tass,HUN,6
124940,127856,Tobias Wendl,GER,6
28982,29202,Tamara Manina,URS,6
47153,47512,Kristin Otto,GDR,6
97109,98479,Vegard Ulvang,NOR,6
51028,51396,John Hencken,USA,6
88149,89436,Roald Larsen,NOR,6
88898,90193,Katrin Wagner,GER,6
47158,47517,Andrea Pollack,GDR,6
124937,127853,Tobias Arlt,GER,6
22303,22475,Rudolf Kárpáti,HUN,6
22313,22485,Győző Kulcsár,HUN,6
21864,22022,Philippe Riboud,FRA,6
21863,22021,Daniel Revenu,FRA,6
1952,1962,Kim Su-Nyeong,KOR,6
22523,22697,Nedo Nadi,ITA,6
132857,136367,Ryan Murphy,USA,6
88988,90283,Natasa Janics,HUN,6
21680,21837,Christian d'Oriola,FRA,6
21717,21874,Lucien Gaudin,FRA,6
43940,44288,Oscar Swahn,SWE,6
44237,44586,Kim Rhode,USA,6
29342,29564,Li Xiaoshuang,CHN,6
99533,100967,Cindy Klassen,CAN,6
83481,84718,Sergey Chepikov,RUS,6
80711,81928,Kateřina Neumannová,CZE,6
12076,12141,Andrew Hoy,AUS,6
51243,51611,Johnny Weissmuller,USA,6
10341,10397,Knut Holmann,NOR,6
117533,119690,Lee Seung-Hun,KOR,6
110067,111922,Zou Kai,CHN,6
120503,123039,Max Whitlock,GBR,6
29344,29566,Li Ning,CHN,6
45723,46077,Guo Jingjing,CHN,6
98986,100370,Hayley Wickenheiser,CAN,5
43226,43567,Østen Østensen,NOR,5
21823,21980,Christian Noël,FRA,5
100290,101772,François-Louis Tremblay,CAN,5
49993,50360,Arne Borg,SWE,5
30328,30568,Giorgio Zampori,ITA,5
50687,51055,Jan Henne,USA,5
12130,12196,André Jousseaumé,FRA,5
98976,100360,Jayna Hefford,CAN,5
96940,98310,Alberto Tomba,ITA,5
